fecha,tweet_normalizado,user
2024-04-25 10:25:12,chile volver generar confianzas hoy enade analizará grave crisis seguridad vivimos crecimiento economía temas relevantes chilenos ello fundamental encuentro mundo público privado comiencen dar señales concretas generen clima confianza crecimiento económico condiciones ideas frenar delincuencia crimen organizado,@evelynmatthei
2024-04-24 21:40:56,oportunidad reunirme expresidente colombia ivanduque conversar temas tan importantes seguridad además experiencia control fronteras combate narcotrafico crimen organizado gran instancia comprometimos seguir profundizando temas intercambiar conocimientos pro mejorar país,@evelynmatthei
2024-04-24 17:01:32,2023 primaron obras mejoramiento urbano alcanzando cifra inversión superior 21 mil millones seguridad sido protagonista gestión capacitado patrulleros tecnología punta demostrando grandes resultados materia salud nueva construcción cesfam alessandri beneficiará 30 mil vecinos tremendo orgullo igual jardines sustentables modelo replica comunas detalles administración video,@evelynmatthei
2024-04-24 13:16:32,nivel descaro delincuente calaña absoluta solo burla familia devastada asesinato ser querido sino burla chile así ríe suerte colombia venezuela extradición posible ello esperar máximas penas juzgado país rigor ley,@evelynmatthei
2024-04-24 11:31:51,atención nueva herramienta equipo seguridad,@evelynmatthei
2024-04-24 07:57:26,ayer día lleno emociones recordar hecho casi 8 años llena orgullo alegría cómo dije última cuenta pública alcaldesa providencia tranquilidad meses quedan cargo verán misma evelyn siempre comprometió ustedes ser alcaldesa activa responsable trabaje haré último día mandato muchísimas gracias acompañaron abrazo grande,@evelynmatthei
2024-04-23 21:35:38,terminando última cuenta pública muniprovi solo parte tremendo equipo detrás ustedes vecinos solo palabras agradecimientos uds posible ¡muchas gracias seguir trabajando avanzando providencia,@evelynmatthei
2024-04-23 14:08:57,hoy día sentimientos ahora ensayando cuenta pública 2023 última providencia hoy expondré realizado casi 8 años gestión verdad podría contenta logrado equipo detrás si quieren verla pueden conectarse cuenta youtube 1900 horas ¡los esperamos,@evelynmatthei
2024-04-23 11:00:06,vez proponer jueces dejen delincuentes prisión preventiva autoridades gobierno deberían ir pensando cómo construir cárceles medidas seguridad éstas chile aguanta incertidumbre existe alternativa planteada fiscal nacional modelo interesante buenos resultados italia vale pena explorar,@evelynmatthei
2024-04-23 09:46:06,¡felizmartes interesante propuesta mejoras vialidad mayor control taxis ilegales conversa ahora concejo municipal providencia junto alcaldesa evelynmatthei concejales muniprovi conéctate conoce acá,@evelynmatthei
2024-04-22 17:39:01,¡mañana,@evelynmatthei
2024-04-21 18:43:36,león mamá sandra parte comunidad cea invitan ser parte talleres actividades diversidadprovi iniciativas todas personas situación discapacidad requieran niños jóvenes adultos personas mayores,@evelynmatthei
2024-04-21 13:09:49,recuerda 2000 horas pueden disfrutar festival penguin culturaprovi autores favoritos esperan firmar libros realmente bueno ¡todos invitados,@evelynmatthei
2024-04-21 10:58:34,postales dejó semana siempre bueno conversar jóvenes saber piensan deseos sueños agradezco iniciativas puede generar diálogo compartir experiencias agradezco cariño selfies tomamos abrazo uds,@evelynmatthei
2024-04-20 12:57:52,vecinos personas visiten providencia vengan festival penguin realmente van pasar bien,@evelynmatthei
2024-04-20 12:55:49,iii festival penguin providencia comenzó tercera versión festival penguin culturaprovi recuerden gran jornada presentaciones firma autores esperamos hoy mañana 2000 hrs horarios,@evelynmatthei
2024-04-20 09:15:47,buen sábado recuerden muniprovi muchas actividades fin semana esperando panoramas todas edades ¡esto bueno pierdan,@evelynmatthei
2024-04-19 11:00:03,50 autores marcela serrano hernán rivera letelier participaran evento gratuito lanzamientos talleres conversaciones,@evelynmatthei
2024-04-19 21:21:30,terminando semana compartiendo dirigentas vecinales puente alto festejando cumpleaños amiga karlaenaccion mejor recibir cariño muchísimas gracias invitación permitirme compartir conocerlas escucharlas sacarnos tantas tantas fotos abrazo cada,@evelynmatthei
2024-04-19 16:10:27,alegría saber iniciativas llevado cabo muniprovi farmacia provisalud traído tantos beneficios vecinos alivio bolsillos recuerden acceder medicamentos solo deben presentar tarjetavecino,@evelynmatthei
2024-04-19 10:24:37,quiero compartir extracto ustedes siempre bueno conversar jóvenes quizás alguien hacen palabras verdad reflexiones pienso siento buen viernes,@evelynmatthei
2024-04-19 12:01:56,victorjeldes1 muchísimas gracias víctor,@evelynmatthei
2024-04-19 12:01:41,nicoleojeda35 muchas gracias nicole,@evelynmatthei
2024-04-19 12:01:24,carito21sa escríbeme interno si gustas,@evelynmatthei
2024-04-19 09:47:17,libros festival penguin providencia fiesta literaria gratis festejar día libro 2024 través ltfinde penguinlibroscl muniprovi,@evelynmatthei
2024-04-19 10:24:37,quiero compartir extracto ustedes siempre bueno conversar jóvenes quizás alguien hacen palabras verdad reflexiones pienso siento buen viernes,@evelynmatthei
2024-04-18 13:19:39,¡celebramos juntos díadellibro sábado 20 domingo 21 abril invitamos iii festival penguin providencia esperamos 1100 2000 horas av nueva providencia 1995 esquina pedro valdivia ¡es gratis conoce aquí programación,@evelynmatthei
2024-04-18 10:18:28,hoy iniciamos jornada jóvenes facultad economía gobierno usansebastian conversamos importante vínculo públicoprivado compartir visiones experiencias agradecida invitación realmente pasé bien,@evelynmatthei
2024-04-17 19:36:15,junto fundación sonrisas aliamos 22 residentes universidad nueva york nyuniversity cuenta especialidad tratar niños autistas puedan venir providencia atender niños puedan capacitar odontólogos manera facilitamos acceso salud dental menores hacemos experiencia amigable,@evelynmatthei
2024-04-17 09:00:03,concierto orquesta cámara chile presentará miércoles 24 abril 19 hrs parroquia anunciación señor av pedro valdivia 1850 entrada liberada cupos limitados ingreso orden llegada completar aforo muniprovi,@evelynmatthei
2024-04-17 14:55:55,tremendas visitas muniprovi trata profesionales expertos new york university nyuniversity realizando jornada llamada “sonrisas inclusivas” organizada fundacionsonrisas alianza busca entregar beneficios vecinos vecinas residentes comuna diagnóstico cea condición espectro autista generar aporte nivel país posicionando providencia comuna pionera atención entrega deservicios personas autistas familias,@evelynmatthei
2024-04-17 09:00:10,ayer gobierno intervino poder legislativo ahora interviene poder judicial ministerio público ¿conocerán término “separación poderes estado” mala señal evaluando siquiera merecen condenas privación libertad salidas alternativas ineficiencias urge construcción cárceles necesitamos poquito conexión realidad tomar medidas concretas evidente alza número delincuentes criminalidad,@evelynmatthei
2024-04-16 16:54:51,realmente entretenido ¡todos invitados,@evelynmatthei
2024-04-16 13:00:53,atención fanáticos lectura muniprovi festejaremos mesdellibro junto culturaprovi festival penguin providencia sábado 20 domingo 21 abril puedes perder tremenda actividad esperamos av nueva providencia 1995 1100 2000 horas podrán conocer autores favoritos autografiar ejemplares realmente bueno info imágenes penguinlibroscl,@evelynmatthei
2024-04-16 10:26:42,martes concejo,@evelynmatthei
