tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1794549311402844321',"Christell Rodríguez vive especial momento al cantar su hit ""Dubidubidu"" con niños en Corea del Sur https://t.co/YQynqad7wQ",es,Tweet,1,32,3,0,12378,2024-05-25 22:01:11,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/tendencias/448396-christell-rodriguez-canta-hit-dubidubidu-ninos-corea-del-sur-fds01-25-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716680317,,
'1794542467007799369',"La rapera Nicki Minaj es liberada tras ser detenida en Países Bajos por supuesta posesión de drogas
https://t.co/uc63Eh27tO",es,Tweet,0,4,3,3,7011,2024-05-25 21:33:59,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/tendencias/448401-rapera-nicki-minaj-liberada-detencion-posesion-drogas-paises-bajos-fds01-25-05-2024.html,,
'1794537687581409492',"Muerte del periodista Claudio Iturra: El simbólico gesto de su amiga Kel Calderón
https://t.co/xxhZ0b4UQc",es,Tweet,1,5,0,0,7801,2024-05-25 21:15:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/tendencias/448331-muerte-claudio-iturra-el-simbolico-gesto-de-su-amiga-kel-calderon-tndc0-25-05-2024.html,,
'1794536814893466090',Cambio de hora: ¿Cuándo y en qué zonas se debe modificar? https://t.co/yDzJ5tVEAZ,es,Tweet,0,0,0,2,6178,2024-05-25 21:11:32,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448256-cambio-de-hora-chile-cuando-se-acaba-el-horario-de-invierno-en-que-zonas-se-cambia-la-hora-dtf01-25-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716680370,,
'1794532619155038542',"🔴 Abogado de la familia de Franco Vargas acusa ""hostigamiento"" por parte del Ejército
https://t.co/TgoHAzbVXy",es,Tweet,0,5,5,8,7566,2024-05-25 20:54:51,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/nacional/448400-abogado-familia-franco-vargas-acusa-hostigamiento-ejercito-caso-conscriptos-putre-fds01-25-05-2024.html,,
'1794530401014215114',"""Pido orar para que Dios me la devuelva"": Madre de joven desaparecida en Punta Arenas hace una semana https://t.co/ldmZbecTV7",es,Tweet,0,14,2,1,5915,2024-05-25 20:46:03,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448394-mujer-desaparecida-jasna-oyarzun-angulo-punta-arenas-busqueda-fds01-25-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716680358,,
'1794529293214642278',Clínica Santa María tiene puestos de trabajo disponibles: Revisa las vacantes y cómo postular https://t.co/v3YpOq2A5o,es,Tweet,1,2,2,0,6088,2024-05-25 20:41:38,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448231-clinica-santa-maria-ofertas-laborales-requisitos-postulacion-sueldos-dtf01-25-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716680272,,
'1794528209981051190',Ingreso Mínimo Garantizado: Conoce la última fecha para postular https://t.co/8Bp8TrNhc0,es,Tweet,0,1,2,0,5505,2024-05-25 20:37:20,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/dato-util/448316-ingreso-minimo-garantizado-conoce-la-ultima-fecha-para-postular-dtcf01-25-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716680337,,
'1794526363799650384',"🔴 ""Enloda la institución"": Conaf se refiere a exbrigadista formalizado por megaincendio en Valparaíso
https://t.co/WAPb80J9QC",es,Tweet,0,9,8,2,7488,2024-05-25 20:30:00,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",,https://www.meganoticias.cl/nacional/448398-reaccion-conaf-exbrigadista-formalizado-incendio-valparaiso-fds01-25-05-2024.html,,
'1794525585508614207',"Imputados por megaincendio de Valparaíso: Fiscalía detalla posible ""motivación económica"" de los sujetos https://t.co/NLy5x6O3RK",es,Tweet,1,4,3,2,6319,2024-05-25 20:26:54,"<a href=""https://www.echobox.com"" rel=""nofollow"">meganoticiascl1645513211750281</a>",,https://www.meganoticias.cl/nacional/448395-imputados-incendios-valparaiso-fiscalia-detalla-posible-motivacion-economica-prision-preventiva-fds01-25-05-2024.html?utm_medium=Social&utm_source=Twitter#Echobox=1716680347,,
