tweet_id,text,language,type,bookmark_count,favorite_count,retweet_count,reply_count,view_count,created_at,client,hashtags,urls,media_type,media_urls
'1794932141220147231',#CooperativaContigo Cadem: Uno de cada cuatro chilenos considera prioritario condonar el CAE https://t.co/YZlSBBafFU https://t.co/ukZTBrxCmq,es,Tweet,4,186,24,134,30591,2024-05-26 23:22:25,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#CooperativaContigo,http://tinyurl.com/2bofxlpo,photo,https://pbs.twimg.com/media/GOjhRBWXAAAWxdo.jpg
'1794925396779249780',[EN VIVO⚽️] ¡Se define todo en la liga mexicana!  América de Diego Valdés e Igor Lichnovsky ya disputa el complemento ante Cruz Azul #CooperativaContigo https://t.co/unY6zlx8F3 https://t.co/GZJ8eXkMwp,es,Tweet,0,3,1,0,7937,2024-05-26 22:55:37,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/235zhay2,photo,https://pbs.twimg.com/media/GOjbH4xXoAAM1Ps.jpg
'1794924296831127779',La agenda de los clubes chilenos en la última fecha grupal de la Libertadores #CooperativaContigo https://t.co/kQDVta4qaC https://t.co/d3XYsRLMxX,es,Tweet,0,3,2,1,7490,2024-05-26 22:51:15,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/27y4avv4,photo,https://pbs.twimg.com/media/GOjaHfVXIAAExnz.jpg
'1794923033775489224',"#CooperativaContigo El actor Johnny Wactor, de la serie 'General Hospital', fue asesinado a tiros al tratar de evitar un robo https://t.co/QkA17JZCgX https://t.co/Mzp1Yx4AZd",es,Tweet,1,8,8,0,9948,2024-05-26 22:46:13,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#CooperativaContigo,http://tinyurl.com/23nzx7v6,photo,https://pbs.twimg.com/media/GOjY-xhWQAAS0jk.jpg
'1794920785213374868',#CooperativaContigo Francia debate la legalización de la eutanasia en medio de una gran división https://t.co/ac9N9Yyivs https://t.co/bX3HSS0QCL,es,Tweet,0,18,6,0,7670,2024-05-26 22:37:17,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#CooperativaContigo,http://tinyurl.com/23abp9dh,photo,https://pbs.twimg.com/media/GOjW6yNWoAAmbGK.jpg
'1794920098274369953',[EN VIVO⚽️] ¡Final de la primera parte! América de Diego Valdés e Igor Lichnovsky se marcha al descanso con la igualdad ante Cruz Azul #CooperativaContigo https://t.co/unY6zlx8F3 https://t.co/v7AzPQFQE1,es,Tweet,0,4,2,0,7408,2024-05-26 22:34:34,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/235zhay2,photo,https://pbs.twimg.com/media/GOjWSVOW4AAJwKV.jpg
'1794920047720444184',Se acaba la primera rueda: La programación de la fecha 15 del Campeonato Nacional #CooperativaContigo https://t.co/H6eWieJUlo https://t.co/jKuxhQB8UT,es,Tweet,0,2,1,0,6979,2024-05-26 22:34:22,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/26u8xgxs,photo,https://pbs.twimg.com/media/GOjWQ88WsAAaOpl.png
'1794911767820447773',"#CooperativaContigo Macri llamó a aprobar la polémica ""ley ómnibus"" de Milei https://t.co/khB6olYi6P https://t.co/j1BFyH25YO",es,Tweet,0,2,1,1,7729,2024-05-26 22:01:27,"<a href=""https://twitter.com"" rel=""nofollow"">TweetDeck Web App</a>",#CooperativaContigo,http://tinyurl.com/28gonm8j,photo,https://pbs.twimg.com/media/GOjOvKYWkAAO2SS.jpg
'1794910629322723331',[VIDEO] Mauricio Isla brindó una asistencia en el empate de Independiente ante Vélez Sarsfield #CooperativaContigo https://t.co/T13lyf9JxQ https://t.co/VKziwnQS0v,es,Tweet,0,5,1,0,7250,2024-05-26 21:56:56,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/2a34h9qj,photo,https://pbs.twimg.com/media/GOjNr8DWkAA6c8n.jpg
'1794910195459715346',"[EN VIVO] Diego Valdés e Igor Lichnovsky buscan el título en México junto a América #CooperativaContigo 
https://t.co/unY6zlx8F3 https://t.co/ysRUsm7QxE",es,Tweet,0,8,1,0,7582,2024-05-26 21:55:13,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",#CooperativaContigo,https://tinyurl.com/235zhay2,photo,https://pbs.twimg.com/media/GOjNPn0WwAAe4_r.jpg
